Category,ITEMS,Price,Unit,location
Coffee Items,Creamer Sachet,90.00,Packs of 100,FRANCHISEE OUTSIDE CEBU
Coffee Items,Vanilla Syrup,450.00,1 liter,FRANCHISEE OUTSIDE CEBU
Coffee Items,Strawberry Syrup,450.00,1 liter,FRANCHISEE OUTSIDE CEBU
Coffee Items,Chocolate Sauce,700.00,2 liters,FRANCHISEE OUTSIDE CEBU
Coffee Items,Caramel Sauce,700.00,2 liters,FRANCHISEE OUTSIDE CEBU
Coffee Items,Matcha Powder,225.00,250g,FRANCHISEE OUTSIDE CEBU
Coffee Items,Cream Frappe,130.00,500g,FRANCHISEE OUTSIDE CEBU
Coffee Items,Coffee Beans,1040.00,1kg,FRANCHISEE OUTSIDE CEBU
Coffee Items,Bending Straw,50.00,Pack of 100,FRANCHISEE OUTSIDE CEBU
Coffee Items,Conaprole,85.00,1 liter,FRANCHISEE OUTSIDE CEBU
Coffee Items,Monalisa,200.00,1 liter,FRANCHISEE OUTSIDE CEBU
Coffee Items,Iced Tea Powder,200.00,200g,FRANCHISEE OUTSIDE CEBU
Coffee Items,Lemonade Powder,500.00,280g,FRANCHISEE OUTSIDE CEBU
Croffle Items,REGULAR CROISSANT WITH WHIPPED CREAM,2660.00,1 box/70pcs. and 7 piping bag whipped cream,FRANCHISEE CEBU
Croffle Items,GLAZE POWDER,160.00,1 Piping Bag,FRANCHISEE CEBU
SAUCES,Nutella,90.00,Pack of 20,FRANCHISEE CEBU
SAUCES,Chocolate,50.00,Pack of 20,FRANCHISEE CEBU
SAUCES,Caramel,50.00,Pack of 20,FRANCHISEE CEBU
SAUCES,Tiramisu,70.00,Pack of 20,FRANCHISEE CEBU
SAUCES,Dark Chocolate,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Biscoff,180.00,Pack of 32,FRANCHISEE CEBU
TOPPINGS,Kitkat,150.00,Pack of 24,FRANCHISEE CEBU
TOPPINGS,Oreo Cookies,80.00,Pack of 27,FRANCHISEE CEBU
TOPPINGS,Biscoff Crushed,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Oreo Crushed,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Peanut,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Colored Sprinkles,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Choco Flakes,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Marshmallow,25.00,Pack of 10,FRANCHISEE CEBU
TOPPINGS,Graham Crushed,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Strawberry Jam,50.00,Pack of 10,FRANCHISEE CEBU
TOPPINGS,Mango Jam,70.00,Pack of 10,FRANCHISEE CEBU
TOPPINGS,Blueberry Jam,75.00,Pack of 10,FRANCHISEE CEBU
TOPPINGS,Matcha crumble,50.00,Pack of 20,FRANCHISEE CEBU
TOPPINGS,Chocolate crumble,50.00,Pack of 20,FRANCHISEE CEBU
BOXES,Rectangle,65.00,Packs of 25,FRANCHISEE CEBU
BOXES,Take -out box w/ cover,140.00,Packs of 25,FRANCHISEE CEBU
BOXES,Mini Take Out Box,60.00,Packs of 25,FRANCHISEE CEBU
BOXES,Overload Cup,200.00,Pack of 50,FRANCHISEE CEBU
MISCELLANEOUS,Chopstick,60.00,Pack of 100 pcs,FRANCHISEE CEBU
MISCELLANEOUS,Popsicle stick,15.00,Pack of 50pcs,FRANCHISEE CEBU
MISCELLANEOUS,Piping bag,45.00,Pack of 50pcs,FRANCHISEE CEBU
MISCELLANEOUS,Mini Spoon,25.00,Pack of 50pcs,FRANCHISEE CEBU
MISCELLANEOUS,Wax Paper,70.00,Packs of 100,FRANCHISEE CEBU
MISCELLANEOUS,Wax Paper for Glaze,90.00,Packs of 100,FRANCHISEE CEBU
MISCELLANEOUS,XL Clear Binbag,65.00,10pcs/roll,FRANCHISEE CEBU
MISCELLANEOUS,Medium Clear Binbag (10pcs/roll),55.00,10pcs/roll,FRANCHISEE CEBU
MISCELLANEOUS,Paper Bag #06,91.00,Per pack,FRANCHISEE CEBU
MISCELLANEOUS,Paper Bag #20,103.00,Per pack,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Storage Box for Croissant,115.00,Per box,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Food Grade Containers,150.00,Per container,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Waffle Maker,6500.00,Per machine,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Cooling Rack with Cover,500.00,Per piece,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Thong,230.00,Per piece,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Spatula,100.00,Per piece,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Brush,130.00,Per piece,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Uniform (Polo Shirt),380.00,Per shirt,FRANCHISEE CEBU
EQUIPMENT and SUPPLIES,Ice Cream Scooper size 50,800.00,Per piece,FRANCHISEE CEBU
Coffee Items,Delonghi Coffee Machine,59000.00,1pc,FRANCHISEE CEBU
Coffee Items,Blender,4500.00,1pc,FRANCHISEE CEBU
Coffee Items,Pitcher,1200.00,1pc,FRANCHISEE CEBU
Coffee Items,Double Wall Coffee Cups with Lid,700.00,Pack of 100,FRANCHISEE CEBU
Coffee Items,Plastic Cups 16oz with Lid,450.00,Pack of 100,FRANCHISEE CEBU
Coffee Items,Double Take-out Plastic for Coffee,86.00,Packs of 100,FRANCHISEE CEBU
Coffee Items,Single Take-out Plastic for Coffee,61.00,Packs of 100,FRANCHISEE CEBU
Coffee Items,Brown Sugar Sachet,85.00,Packs of 100,FRANCHISEE CEBU
Coffee Items,White Sugar Sachet,85.00,Packs of 100,FRANCHISEE CEBU
Coffee Items,Creamer Sachet,90.00,Packs of 100,FRANCHISEE CEBU
Coffee Items,Vanilla Syrup,450.00,1 liter,FRANCHISEE CEBU
Coffee Items,Strawberry Syrup,450.00,1 liter,FRANCHISEE CEBU
Coffee Items,Chocolate Sauce,700.00,2 liters,FRANCHISEE CEBU
Coffee Items,Caramel Sauce,700.00,2 liters,FRANCHISEE CEBU
Coffee Items,Matcha Powder,225.00,250g,FRANCHISEE CEBU
Coffee Items,Cream Frappe,130.00,500g,FRANCHISEE CEBU
Coffee Items,Coffee Beans,1040.00,1kg,FRANCHISEE CEBU
Coffee Items,Bending Straw,50.00,Pack of 100,FRANCHISEE CEBU
Coffee Items,Conaprole,85.00,1 liter,FRANCHISEE CEBU
Coffee Items,Monalisa,200.00,1 liter,FRANCHISEE CEBU
Coffee Items,Iced Tea Powder,200.00,200g,FRANCHISEE CEBU
Coffee Items,Lemonade Powder,500.00,280g,FRANCHISEE CEBU
Croffle Items,REGULAR CROISSANT,2100.00,1 box,BRANCHES
Croffle Items,Whipped Cream,80.00,Piping Bag,BRANCHES
Croffle Items,GLAZE POWDER,160.00,1 Piping Bag,BRANCHES
Croffle Items,VANILLA ICE CREAM,350.00,Gal,BRANCHES
SAUCES,Nutella,90.00,Pack of 20,BRANCHES
SAUCES,Chocolate,50.00,Pack of 20,BRANCHES
SAUCES,Caramel,50.00,Pack of 20,BRANCHES
SAUCES,Tiramisu,70.00,Pack of 20,BRANCHES
SAUCES,Dark Chocolate,50.00,Pack of 20,BRANCHES
TOPPINGS,Biscoff,180.00,Pack of 32,BRANCHES
TOPPINGS,Kitkat,150.00,Pack of 24,BRANCHES
